#ExpID,PMID,#Exp,CellLine,Tissue,CellClass,CellCycle,Energy (MeV),RBE,LET (keV/μm),DoseRate (Gy/min),α,β,DSBs/(Gy*Gbp),nonDSBClusters/(Gy*Gbp),1keV_DSBs_1%O2,1keV_Other_1%O2,1keV_DSBs_20%O2,1keV_Other_20%O2,10keV_DSBs_1%O2,10keV_Other_1%O2,10keV_DSBs_20%O2,10keV_Other_20%O2,TypeofRadiation,IrradiationConditions,DSBs_1%O2,Other_1%O2,DSBs_20%O2,Other_20%O2,Source
67,24986743,17,U-87,Brain,t,a,62,2.2,18,3,0.77,0.008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
68,24986743,18,U-87,Brain,t,a,62,2.3,22.6,3,0.9,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
79,25037857,1,HFIB2,Skin,t,a,60,1.19,7.9,12,0.855,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.65,8.28,420.76,N/A
83,25037857,5,HFIB15,Skin,t,a,60,1.05,7.9,12,0.63,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.65,8.28,420.76,N/A
87,25037857,9,HFIB30,Skin,t,a,60,1.14,7.9,12,0.814,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.65,8.28,420.76,N/A
97,29413288,1,HeLa,Cervix,t,a,58,N/A,1,5,0.128,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.4,8.29,420.48,N/A
99,29413288,3,UMSCC74A,Tongue,t,a,58,N/A,1,5,0.327,-0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.4,8.29,420.48,N/A
101,29413288,5,UM-SCC-6,Tongue,t,a,58,N/A,1,5,0.055,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.4,8.29,420.48,N/A
115,30159358,1,A-549,Lung,t,a,71,1.22,1.78,N/A,0.28,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
116,30159358,2,A-549,Lung,t,a,71,1.33,3.36,N/A,0.32,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
117,30159358,3,A-549,Lung,t,a,71,1.61,4.35,N/A,0.46,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
118,30159358,4,A-549,Lung,t,a,71,1.71,7.34,N/A,0.59,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
119,30159358,5,A-549,Lung,t,a,160,1.1,0.99,N/A,0.25,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
120,30159358,6,A-549,Lung,t,a,160,1.04,2.22,N/A,0.23,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
121,30159358,7,A-549,Lung,t,a,160,1.11,4.19,N/A,0.19,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
122,30159358,8,A-549,Lung,t,a,160,1.32,7.29,N/A,0.26,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
123,30159358,9,T-98G,Brain,t,a,71,1.07,1.78,N/A,0.27,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
124,30159358,10,T-98G,Brain,t,a,71,1.2,3.36,N/A,0.26,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
125,30159358,11,T-98G,Brain,t,a,71,1.44,4.35,N/A,0.37,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
126,30159358,12,T-98G,Brain,t,a,71,1.71,7.34,N/A,0.56,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.16,8.26,421.41,N/A
127,30159358,13,T-98G,Brain,t,a,160,1.07,0.99,N/A,0.26,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
128,30159358,14,T-98G,Brain,t,a,160,1.06,2.22,N/A,0.29,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
129,30159358,15,T-98G,Brain,t,a,160,1.18,4.19,N/A,0.28,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
130,30159358,16,T-98G,Brain,t,a,160,1.6,7.29,N/A,0.28,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6,384.7,8.14,423.44,N/A
137,10902738,1,HF-19,Lung,n,a,5.04,0.86,7.7,1,0.55,0.074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.46,349.83,10.08,378.07,N/A
138,10902738,2,HF-19,Lung,n,a,1.49,0.85,19.5,1,0.54,-0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,10.45,287.4,13.71,297.91,N/A
139,10902738,3,HF-19,Lung,n,a,0.88,0.82,29,1,0.52,-0.053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,12.99,245.48,16.33,246.46,N/A
140,10902738,4,M/10,Breast,n,a,4.05,0.95,9.11,1,0.5,-0.019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.79,342.14,10.51,368.09,N/A
141,10902738,5,M/10,Breast,n,a,1.35,0.94,21.4,1,0.49,-0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,10.88,280.12,14.19,288.74,N/A
142,10902738,6,M/10,Breast,n,a,0.79,1.78,33,1,0.93,-0.069,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,13.66,236.07,16.92,235.52,N/A
143,10902738,7,SCC-25,Tongue,t,a,5.04,0.95,7.7,1,0.41,0.092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.46,349.83,10.08,378.07,N/A
144,10902738,8,SCC-25,Tongue,t,a,1.49,1.36,19.7,1,0.87,0.004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,10.45,287.4,13.71,297.91,N/A
145,10902738,9,SCC-25,Tongue,t,a,0.88,1.27,29.5,1,0.81,-0.023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,12.99,245.48,16.33,246.46,N/A
146,10902738,10,SQ20B,Larynx,t,a,4.05,1.07,7.7,1,0.15,0.011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.79,342.14,10.51,368.09,N/A
147,10902738,11,SQ20B,Larynx,t,a,1.35,1.43,19.8,1,0.23,0.004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,10.88,280.12,14.19,288.74,N/A
148,10902738,12,SQ20B,Larynx,t,a,0.79,3.19,30,1,0.57,-0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,13.66,236.07,16.92,235.52,N/A
155,12816523,1,Lymphocytes,Peripheral Blood,n,G0,0.88,1.4,28,1,1.34,-0.467,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,12.99,245.48,16.33,246.46,N/A
158,18514560,1,HTB140,Skin,t,a,62,1.69,N/A,15,0.03,0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
170,25984967,1,H460,Lung,t,a,79.7,1.03,0.9,N/A,0.268,0.097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
171,25984967,2,H460,Lung,t,a,79.7,1.04,1.2,N/A,0.226,0.112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
172,25984967,3,H460,Lung,t,a,79.7,1.05,1.6,N/A,0.151,0.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
173,25984967,4,H460,Lung,t,a,79.7,1.05,1.8,N/A,0.15,0.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
174,25984967,5,H460,Lung,t,a,79.7,1.06,1.9,N/A,0.166,0.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
175,25984967,6,H460,Lung,t,a,79.7,1.07,2.3,N/A,0.137,0.146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
176,25984967,7,H460,Lung,t,a,79.7,1.07,3,N/A,0.206,0.125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
177,25984967,8,H460,Lung,t,a,79.7,1.1,5.1,N/A,0.117,0.159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
178,25984967,9,H460,Lung,t,a,79.7,1.28,10.8,N/A,0.318,0.154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
179,25984967,10,H460,Lung,t,a,79.7,1.87,15.2,N/A,0.446,0.341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
180,25984967,11,H460,Lung,t,a,79.7,2.58,17.7,N/A,0.596,0.662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
181,25984967,12,H460,Lung,t,a,79.7,3.28,19,N/A,0.883,0.956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
182,25984967,13,H1437,Lung,t,a,79.7,0.89,0.9,N/A,0.077,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
183,25984967,14,H1437,Lung,t,a,79.7,0.88,1.2,N/A,0.136,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
184,25984967,15,H1437,Lung,t,a,79.7,0.85,1.6,N/A,0.067,0.027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
185,25984967,16,H1437,Lung,t,a,79.7,0.98,1.8,N/A,0.059,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
186,25984967,17,H1437,Lung,t,a,79.7,0.96,1.9,N/A,0.094,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
187,25984967,18,H1437,Lung,t,a,79.7,0.97,2.3,N/A,0.096,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
188,25984967,19,H1437,Lung,t,a,79.7,1.02,3,N/A,0.111,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
189,25984967,20,H1437,Lung,t,a,79.7,1.1,5.1,N/A,0.034,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
190,25984967,21,H1437,Lung,t,a,79.7,1.26,10.8,N/A,0.119,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
191,25984967,22,H1437,Lung,t,a,79.7,1.7,15.2,N/A,0.18,0.095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
192,25984967,23,H1437,Lung,t,a,79.7,2.33,17.7,N/A,0.328,0.149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
193,25984967,24,H1437,Lung,t,a,79.7,2.98,19,N/A,0.36,0.272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.07,383.42,8.23,421.78,N/A
226,30675822,1,A431,Skin,t,a,1.3,N/A,25,2,1.26,-0.127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,11.04,277.31,14.35,285.26,N/A
227,30675822,2,MDA-MB-453,Breast,t,a,1.3,N/A,25,2,0.97,-0.017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,11.04,277.31,14.35,285.26,N/A
228,30824153,1,U-87,Brain,t,a,62,1.05,1.1,N/A,0.12,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
229,30824153,2,U-87,Brain,t,a,62,1.1,4,N/A,0.17,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
230,30824153,3,U-87,Brain,t,a,62,1.21,7,N/A,0.22,0.071,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
231,30824153,4,U-87,Brain,t,a,62,1.42,11.9,N/A,0.44,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
232,30824153,5,U-87,Brain,t,a,62,1.85,18,N/A,0.77,0.008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
233,30824153,6,U-87,Brain,t,a,62,2.18,22.6,N/A,0.9,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
246,30851349,1,HeLa,Cervix,t,a,58,N/A,1,N/A,0.225,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.4,8.29,420.48,N/A
271,31425731,1,HT-1080,Connective Tissue,t,a,100,1.7,7.3,N/A,0.146,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
272,31425731,2,M059K,Brain,t,a,100,0.9,1.1,N/A,0.222,0.026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
273,31425731,3,M059K,Brain,t,a,100,1.04,2.5,N/A,0.323,0.023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
274,31425731,4,M059K,Brain,t,a,100,1.34,7.3,N/A,0.333,0.059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
275,31425731,5,HCC1937,Breast,t,a,100,2,7.3,N/A,1.57,0.135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
282,31678633,1,HSG,Salivary Gland,t,a,70,N/A,1.1,5,0.147,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.07,8.25,421.32,N/A
283,31678633,2,HSG,Salivary Gland,t,a,70,N/A,3.3,9,0.208,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.07,8.25,421.32,N/A
284,31678633,3,NB1RGB,Skin,n,a,70,N/A,1.1,5,0.388,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.07,8.25,421.32,N/A
285,31678633,4,NB1RGB,Skin,n,a,70,N/A,3.3,9,0.482,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.07,8.25,421.32,N/A
286,31677156,1,HT-1080,Connective Tissue,t,a,100,1.13,1.27,N/A,0.06,0.037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.05,383.93,8.22,422.43,N/A
292,32910708,1,HTB140,Skin,t,a,62,2.08,4.7,12,0.073,-0.013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
293,32910708,2,HTB177,Lung,t,a,62,1.98,4.7,12,0.383,0.069,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
294,32910708,3,CRL 5876,Lung,t,a,62,1.33,4.7,12,0.236,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
295,32910708,4,MCF-7,Breast,t,a,62,1.7,4.7,12,0.203,0.096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
364,16484153,1,AG1522,Foreskin,n,a,0.84,1.3,28.5,15,N/A,N/A,7.1 p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,13.25,241.42,16.56,241.7,N/A
367,22901337,1,MOLT4,Peripheral Blood,t,a,155,N/A,4.48,2.3,N/A,N/A,2.68 f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
368,22901337,2,MOLT4,Peripheral Blood,t,a,155,N/A,7.02,7.8,N/A,N/A,2.73 f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
374,37328655,1,A-549,Lung,t,a,5.4,N/A,10,N/A,0.34,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,4.7,306.48,6.39,337.5,N/A
375,37328655,2,HAP1,Bone Marrow,t,a,5.4,N/A,10,N/A,0.39,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,4.7,306.48,6.39,337.5,N/A
376,37328655,3,MCF-7,Breast,t,a,5.4,N/A,10,N/A,0.26,0.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,4.7,306.48,6.39,337.5,N/A
377,37753877,1,RPE-1,Retina,n,a,58,N/A,1,5,0.682,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,3.89,326.93,5.3,366.44,N/A
